"Via Castello di Verrazzano, 1, 50022 Greve in Chianti FI",Via Castello di Verrazzano 1
"2331 Broadway, Sacramento, CA 95818, USA",Broadway 2331
"Burgemeester Tellegenstraat 128, 1073 KG Amsterdam",Burgemeester Tellegenstraat 128
"Rua do Quelhas, 6, 1200-781 Lisbon",Rua do Quelhas 6
"Hirschengraben 49, 6003 Luzern",Hirschengraben 49
"Carrer de Sant Pau, 99, Ciutat Vella, 08001 Barcelona, Spain",Carrer de Sant Pau 99
"77 Massachusetts Avenue, Cambridge, MA 02139, USA",Massachusetts Avenue 77
"Boompjes 40, 3011 XB Rotterdam",Boompjes 40
"3356 Kraus Rd, Roberts Creek, BC V0N 2W2, Canada",Kraus Rd 3356
"Piazza del Duomo, 1, 50122 Firenze, Italy",Piazza del Duomo 1
"Kaiserstr 10, 47051 Duisburg",Kaiserstr 10
"Av. Complutense, s/n, 28040 Madrid, Spain",Av. Complutense s/n
"Karolinenplatz 5, 64289 Darmstadt",Karolinenplatz 5
"Ernst-Reuter-Platz 8, 10611 Berlin",Ernst-Reuter-Platz 8
"R. da Firmeza 138, 4000-225 Porto, Portugal",R. da Firmeza 138
"Calle Ote., 5, 37187 Aldeatejada, Salamanca, Spain",Calle Ote. 5
"Pl. du Vingt Aout 7, 4000 Liege",Pl. du Vingt Aout 7
"Forsthausweg 2, 47057 Duisburg",Forsthausweg 2
"C. de Embajadores, 138, Arganzuela, 28045 Madrid, Spain",C. de Embajadores 138
"33 Milligan St, Perth, WA 6000, Australia",Milligan St 33
"Bd de la Plaine 2, 1050 Ixelles",Bd de la Plaine 2
"Pl. del Pte., 3, 47003 Valladolid, Spain",Pl. del Pte. 3
"Drienerlolaan 5, 7522 NB Enschede",Drienerlolaan 5
"Welfengarten 1, 30167 Hannover",Welfengarten 1
"1 William St, Darlinghurst, NSW 2010, Australia",William St 1
"555 Great Northern Wy, Vancouver, BC V5T 1E1, Canada",Great Northern Wy 555
"Universiteitstraat 4, 9000 Gent",Universiteitstraat 4
"C. Castillo, 1, 45460 Manzaneque, Toledo, Spain",C. Castillo 1
"Europaplatz 1, 10557 Berlin",Europaplatz 1
"Het Eeuwsel 53, 5612 AZ Eindhoven",Het Eeuwsel 53
"5 Chipping Norton Rd, Chadlington, Chipping Norton OX7 3PE, United Kingdom",Chipping Norton Rd 5
"910 Victoria Ave, Saskatoon, SK S7N 0Z6, Canada",Victoria Ave 910
"1600 Pennsylvania Ave, Washington DC 20500, USA",Pennsylvania Ave 1600
"Hallerstr 25, 30161 Hannover",Hallerstr 25
"8 Bride St, Dublin, D08 Y2AY, Ireland",Bride St 8
"201 W Center St, Rochester, MN 55902, USA",W Center St 201
"34 Windmill Rd, Moneymore, Drogheda, Co. Louth A92 AYH7, Ireland",Windmill Rd 34
"Piazzale Aldo Moro, 5, 00185 Roma, Italy",Piazzale Aldo Moro 5
"Viale Europa, 22, 00122 Roma RM",Viale Europa 22
"Av. Vizcaya, 8, 26200 Haro, La Rioja",Av. Vizcaya 8
"Mathenesserlaan 145, 3015 CJ Rotterdam",Mathenesserlaan 145
"9 Hertford St, London, W1J 7RJ, United Kingdom",Hertford St 9
"Av. Dom Carlos I, 17-25, 1200-000 Lisboa, Portugal",Av. Dom Carlos I 17-25
"Rue Joseph II 32, 1000 Bruxelles",Rue Joseph II 32
"Rua do Choupelo, 39, 4400-088 Vila Nova de Gaia",Rua do Choupelo 39
"Rambla de Mar, s/n, 08039 Barcelona, Spain",Rambla de Mar s/n
"Charitepl. 1, 10117 Berlin",Charitepl. 1
"333 Biscayne Boulevard Way, Miami, Florida 33131, USA",Biscayne Boulevard Way 333
"6 Western Ave, Perth, PH1 1NY, United Kingdom",Western Ave 6
"Geschwister-Scholl-Platz 1, 80539 Munich",Geschwister-Scholl-Platz 1
"141 Goodwood Rd, Goodwood, SA 5034, Australia",Goodwood Rd 141
"350 Trolley Line Blvd, Mashantucket, Connecticut 06338, USA",Trolley Line Blvd 350
"827 Lansdowne Ave, Toronto, ON M6H 3Z2, Canada",Lansdowne Ave 827
"88 Altona St, Kensington, VIC 3031, Australia",Altona St 88
"C. Alba de Tormes, Km2, 37188 Carbajosa de la Sagrada, Salamanca, Spain",C. Alba de Tormes Km2
"Via Festa del Perdono, 7, 20122 Milano",Via Festa del Perdono 7
"Sternbuschweg 52, 47057 Duisburg",Sternbuschweg 52
"Av. D., Joao II, 1900-233, Lisboa",Av. D. Joao II
"Avda. del Cid, 2 bis, 09005 Burgos, Spain",Avda. del Cid 2 bis
"5 Albatross Ct, Yellowknife, NT X1A 1Y7, Canada",Albatross Ct 5
