Dale A. Stirling. 2003. Information rules. In ACM SIGMOD Record .,Information rules by Dale A. Stirling
"Jeff Sidell. ""The Mariposa distributed database management system"". ACM SIGMOD Record , 1996.",The Mariposa distributed database management system by Jeff Sidell
"Michael J. Carey (1994). ""Parallel database systems in the 1990's"". International Conference on Management of Data.",Parallel database systems in the 1990's by Michael J. Carey
"Malcolm P. Atkinson (2000). ""Guest editorial"". The VLDB Journal -- The International Journal on Very Large Data Bases .",Guest editorial by Malcolm P. Atkinson
Terence Critchlow. 2001. Report on XEWA-00: the XML enabled wide-area searches for bioinformatics workshop. In ACM SIGMOD Record .,Report on XEWA-00: the XML enabled wide-area searches for bioinformatics workshop by Terence Critchlow
"Arvola Chan. ""Transactional publish/subscribe: the proactive multicast of database changes (abstract)"". International Conference on Management of Data, 1998.",Transactional publish/subscribe: the proactive multicast of database changes (abstract) by Arvola Chan
Harald Schoning. 1998. The ADABAS Buffer Pool Manager. In Very Large Data Bases.,The ADABAS Buffer Pool Manager by Harald Schoning
"Val Huber. ""Challenges in automating declarative business rules to enable rapid business response"". International Conference on Management of Data, 2000.",Challenges in automating declarative business rules to enable rapid business response by Val Huber
"Richard Snodgrass (2001). ""Editorial"". ACM Transactions on Database Systems (TODS) .",Editorial by Richard Snodgrass
"Carsten Blecken (2000). ""Media360 Workflow-Implementing a Workflow Engine Inside a Database"". Very Large Data Bases.",Media360 Workflow-Implementing a Workflow Engine Inside a Database by Carsten Blecken
Leonid Libkin. 2003. Database principles. In ACM SIGMOD Record .,Database principles by Leonid Libkin
"D. Scott Mackay. ""Semantic integration of environmental models for application to global information systems and decision-making"". ACM SIGMOD Record , 1999.",Semantic integration of environmental models for application to global information systems and decision-making by D. Scott Mackay
"Gennady Antoshenkov. ""Dictionary-based order-preserving string compression"". The VLDB Journal -- The International Journal on Very Large Data Bases , 1997.",Dictionary-based order-preserving string compression by Gennady Antoshenkov
"Ouri Wolfson (2000). ""Research issues in moving objects databases (tutorial session)"". International Conference on Management of Data.",Research issues in moving objects databases (tutorial session) by Ouri Wolfson
"Nikos Mamoulis. ""Efficient processing of joins on set-valued attributes"". International Conference on Management of Data, 2003.",Efficient processing of joins on set-valued attributes by Nikos Mamoulis
"Daniel Barbara (2001). ""Special section on data mining for intrusion detection and threat analysis"". ACM SIGMOD Record .",Special section on data mining for intrusion detection and threat analysis by Daniel Barbara
Wilfred Ng. 2001. An extension of the relational data model to incorporate ordered domains. In ACM Transactions on Database Systems (TODS) .,An extension of the relational data model to incorporate ordered domains by Wilfred Ng
"Oded Shmueli (2001). ""Architectures for Internal Web Services Deployment"". Very Large Data Bases.",Architectures for Internal Web Services Deployment by Oded Shmueli
"Jiawei Han. ""Towards on-line analytical mining in large databases"". ACM SIGMOD Record , 1998.",Towards on-line analytical mining in large databases by Jiawei Han
"Dan Suciu (2001). ""On database theory and XML"". ACM SIGMOD Record .",On database theory and XML by Dan Suciu
"Luca Cardelli (2001). ""Describing semistructured data"". ACM SIGMOD Record .",Describing semistructured data by Luca Cardelli
"Jim Melton (2002). ""Standards"". ACM SIGMOD Record .",Standards by Jim Melton
"Michael Stonebraker. ""In memory of Bob Kooi (1951-1993)"". ACM SIGMOD Record , 1994.",In memory of Bob Kooi (1951-1993) by Michael Stonebraker
"John L. Schnase. ""Research Directions in Biodiversity Informatics"". Very Large Data Bases, 2000.",Research Directions in Biodiversity Informatics by John L. Schnase
"Matthias Jarke (1998). ""Guest Editorial"". The VLDB Journal -- The International Journal on Very Large Data Bases .",Guest Editorial by Matthias Jarke
Nam Huyn. 1997. Multiple-View Self-Maintenance in Data Warehousing Environments. In Very Large Data Bases.,Multiple-View Self-Maintenance in Data Warehousing Environments by Nam Huyn
"Arvola Chan (1998). ""Transactional publish/subscribe: the proactive multicast of database changes (abstract)"". International Conference on Management of Data.",Transactional publish/subscribe: the proactive multicast of database changes (abstract) by Arvola Chan
"Pierre-Paul Sondag. ""The Semantic Web Paving the Way to the Knowledge Society"". Very Large Data Bases, 2001.",The Semantic Web Paving the Way to the Knowledge Society by Pierre-Paul Sondag
Vijay V. Raghavan. 1996. Loading the Data Warehouse Across Various Parallel Architectures. In Very Large Data Bases.,Loading the Data Warehouse Across Various Parallel Architectures by Vijay V. Raghavan
"Hannes Spintzik. ""Informix-Online XPS: A Dynamically Scalable RDBMS for Open Parallel Platforms"". Very Large Data Bases, 1995.",Informix-Online XPS: A Dynamically Scalable RDBMS for Open Parallel Platforms by Hannes Spintzik
"Leonid Libkin. ""Database principles"". ACM SIGMOD Record , 2002.",Database principles by Leonid Libkin
"John L. Schnase (2000). ""Research Directions in Biodiversity Informatics"". Very Large Data Bases.",Research Directions in Biodiversity Informatics by John L. Schnase
"Sridhar Ramaswamy (2000). ""E.piphany Epicenter Technology Overview"". Very Large Data Bases.",E.piphany Epicenter Technology Overview by Sridhar Ramaswamy
"Andrew Eisenberg. ""Standards"". ACM SIGMOD Record , 2003.",Standards by Andrew Eisenberg
Kenneth A. Ross. 2001. Reminiscences on Influential Papers. In ACM SIGMOD Record .,Reminiscences on Influential Papers by Kenneth A. Ross
"John Gaffney. ""An Illustra technical white paper"". ACM SIGMOD Record , 1996.",An Illustra technical white paper by John Gaffney
"Reed M. Meseck. 2001. Data management: lasting impact on wild, wild, web. In International Conference on Management of Data.","Data management: lasting impact on wild, wild, web by Reed M. Meseck"
Avigdor Gal. 2002. Articles. In ACM SIGMOD Record .,Articles by Avigdor Gal
"Umeshwar Dayal. ""Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions"". Very Large Data Bases, 1999.","Industrial Panel on Data Warehousing Technologies: Experiences, Challenges, and Directions by Umeshwar Dayal"
"Mario A. Nascimento. ""Peer-to-peer: harnessing the power of disruptive technologies"". ACM SIGMOD Record , 2003.",Peer-to-peer: harnessing the power of disruptive technologies by Mario A. Nascimento
"Limsoon Wong. ""An introduction to Remy's fast polymorphic record projection"". ACM SIGMOD Record , 1995.",An introduction to Remy's fast polymorphic record projection by Limsoon Wong
"Vadim Draluk (2001). ""Discovering Web Services: An Overview"". Very Large Data Bases.",Discovering Web Services: An Overview by Vadim Draluk
Daniel J. Dietterich. 1994. DEC data distributor: for data replication and data warehousing. In International Conference on Management of Data.,DEC data distributor: for data replication and data warehousing by Daniel J. Dietterich
"C. J. Date (1996). ""A response to R. Camps' article Domains, relations and religious wars"". ACM SIGMOD Record .","A response to R. Camps' article Domains, relations and religious wars by C. J. Date"
Luciana Duranti. 2001. The Long-Term Preservation of Authentic Electronic Records. In Very Large Data Bases.,The Long-Term Preservation of Authentic Electronic Records by Luciana Duranti
Rick Greer. 1999. Daytona and the foruth-generation language cymbal. In International Conference on Management of Data.,Daytona and the foruth-generation language cymbal by Rick Greer
