"Uganda, Kampala, Makerere University",Makerere University in Kampala
"China, Beijing, Tsinghua University",Tsinghua University in Beijing
"Stanford University, Stanford, California, USA",Stanford University in Stanford
"Toronto, University of Toronto, Canada",University of Toronto in Toronto
"Harvard University, Cambridge, Massachusetts, USA",Harvard University in Cambridge
"Sendai, Tohoku University, Japan",Tohoku University in Sendai
"Czechia, Prague, Charles University",Charles University in Prague
"Canberra, Australian National University, Australia",Australian National University in Canberra
"Princeton University, Princeton, New Jersey, USA",Princeton University in Princeton
"Houston, Rice University, USA",Rice University in Houston
"Leipzig, Leipzig University, Germany",Leipzig University in Leipzig
"China, Nanjing, Nanjing University",Nanjing University in Nanjing
"Edinburgh, University of Edinburgh, United Kingdom",University of Edinburgh in Edinburgh
"Imperial College London, London, United Kingdom",Imperial College London in London
"Tokyo, Waseda University, Japan",Waseda University in Tokyo
"Ithaca, Cornell University, USA",Cornell University in Ithaca
"Massachusetts Institute of Technology, Cambridge, Massachusetts, USA",Massachusetts Institute of Technology in Cambridge
"Paris, Sorbonne University, France",Sorbonne University in Paris
"Delft, Delft University of Technology, Netherlands",Delft University of Technology in Delft
"Johns Hopkins University, Baltimore, Maryland, USA",Johns Hopkins University in Baltimore
"Hokaido, Sapporo, Hokkaido University, Japan",Hokkaido University in Sapporo
"Caltech, Pasadena, California, USA",Caltech in Pasadena
"University of Tokyo, Tokyo, Japan",University of Tokyo in Tokyo
"Beijing, Peking University, China",Peking University in Beijing
"Manchester, University of Manchester, United Kingdom",University of Manchester in Manchester
"University of Pennsylvania, Philadelphia, Pennsylvania, USA",University of Pennsylvania in Philadelphia
"China, Shanghai, Tongji University",Tongji University in Shanghai
"Germany, Berlin, Humboldt University of Berlin",Humboldt University of Berlin in Berlin
"Hongkong, University of Hongkong, China",University of Hongkong in Hongkong
"Montreal, McGill University, Canada",McGill University in Montreal
"Carnegie Mellon University, Pittsburgh, Pennsylvania, USA",Carnegie Mellon University in Pittsburgh
"Drexel University, Philadelphia, Pennsylvania, USA",Drexel University in Philadelphia
"Jakarta, University of Indonesia, Indonesia",University of Indonesia in Jakarta
"Osaka, Osaka University, Japan",Osaka University in Osaka
"Duke University, Durham, North Carolina, USA",Duke University in Durham
"Seoul, Seoul National University, South Korea",Seoul National University in Seoul
"China, Shanghai, Fudan University",Fudan University in Shanghai
"China, Tianjin, Nankai University",Nankai University in Tianjin
"Lausanne, EPFL, Switzerland",EPFL in Lausanne
"UC Berkeley, Berkeley, California, USA",UC Berkeley in Berkeley
