Park Minyoung,"Park, Minyoung"
Michael Bakari Jordan,"Jordan, Michael Bakari"
Mohammad Amin,"Amin, Mohammad"
Zhou Jielun,"Zhou, Jielun"
Nagasawa Masami,"Nagasawa, Masami"
Johnny Depp,"Depp, Johnny"
Natalie Portman,"Portman, Natalie"
Angelina Jolie,"Jolie, Angelina"
Kate Winslet,"Winslet, Kate"
Zhou Chuanxiong,"Zhou, Chuanxiong"
Christopher Robert Evans,"Evans, Christopher Robert"
Steve Jobs,"Jobs, Steve"
Zhang Liangying,"Zhang, Liangying"
Kwon Jiyong,"Kwon, Jiyong"
Tom Hanks,"Hanks, Tom"
Emi Yamada,"Yamada, Emi"
Tim Cook,"Cook, Tim"
Liu Lei,"Liu, Lei"
Thomas Jeffrey Hanks,"Hanks, Thomas Jeffrey"
Miley Ray Cyrus,"Cyrus, Miley Ray"
Leonardo DiCaprio,"DiCaprio, Leonardo"
Justin Randall Timberlake,"Timberlake, Justin Randall"
Bill Gates,"Gates, Bill"
Nguyen Trong Hoa,"Nguyen, Trong Hoa"
Suho Alex Kim,"Kim, Suho Alex"
James Michael Miller,"Miller, James Michael"
Wang Fei,"Wang, Fei"
Matt Damon,"Damon, Matt"
Tim Cook,"Cook, Tim"
Kim Taehyung,"Kim, Taehyung"
Jose Lucia Rodriguez,"Rodriguez, Jose Lucia"
Saburou Nakamura,"Nakamura, Saburou"
Brad Pitt,"Pitt, Brad"
Watanabe Naomi,"Watanabe, Naomi"
Luca Lee Davis,"Davis, Luca Lee"
Sandra Bullock,"Bullock, Sandra"
Pham Phi,"Pham, Phi"
Tran Thu Ha,"Tran, Thu Ha"
Ha Luong Ngoc,"Ha, Luong Ngoc"
Tom Cruise,"Cruise, Tom"
Scarlett Johansson,"Johansson, Scarlett"
Anna Hagen,"Hagen, Anna"
Ken Henry Kishida,"Kishida, Ken Henry"
Yamamoto Kazuo,"Yamamoto, Kazuo"
Zhang Zhishu,"Zhang, Zhishu"
Kevin Spacey,"Spacey, Kevin"
Do My Linh,"Do, My Linh"
Lisa Su,"Su, Lisa"
Jennifer Joanna Aniston,"Aniston, Jennifer Joanna"
Dakai Men,"Men, Dakai"
Anne Jacqueline Hathaway,"Hathaway, Anne Jacqueline"
Ahmad Khalid Ashkan,"Ashkan, Ahmad Khalid"
Taylor Alison Swift,"Swift, Taylor Alison"
Emma Charlotte Watson,"Watson, Emma Charlotte"
Bradly Ernest Pitt,"Pitt, Bradly Ernest"
Samuel Leroy Jackson,"Jackson, Samuel Leroy"
Huang Xiaoyun,"Huang, Xiaoyun"
Leonardo Wilhelm DiCaprio,"DiCaprio, Leonardo Wilhelm"
Beyonce Giselle Knowles,"Knowles, Beyonce Giselle"
Kim Huijeong,"Kim, Huijeong"
